avg,best
3.770746460007259E8,1.888813607790594E8
3.89690063449725E8,1.83588989245821E8
9.930503688722155E8,9.820593530855791E7
1.16819629840322E10,9.627449739440544E7
2.2030985070584663E10,7.825038999183592E7
1.0417298352773346E11,5.129209812419116E7
3.299699209450599E11,3.837514662084856E7
4.4587889838768507E18,3.689439681805688E7
7.345933190329301E14,1087514.954536398
5.0259916390476864E17,1087514.954536398
3.0017375811646784E17,98811.04419487779
9.64428752956839E16,98811.04419487779
5.679460839972778E24,98811.04419487779
1.1470977608966107E18,92370.45666619542
2.959579528988033E18,92367.5010609125
1.811061696602412E25,92339.45015737803
1.0493637312661869E22,92339.45015737803
1.0493462215956355E22,90342.26304354308
4.667966016676535E16,77818.56019710541
2.5930752079136355E17,77684.8397240757
3.5891209193424638E19,75025.46919454586
1.4111560086822717E13,74270.12932478671
2.0745798402498382E36,74246.20898408836
3.578357618772387E17,73446.0639615711
1.7080546374430717E20,71767.05114727234
3.968868718225321E19,71767.05114727234
1.6174187756628728E25,68719.00777059252
2.0645406481258198E17,68621.30071533934
1.6412327443989696E18,66782.48288830383
1.855661133015296E26,64180.94025155865
9.794852480459739E16,64180.94025155865
3.134924981281442E11,64180.94025155865
8.656607392347275E15,59786.16435732154
5.734208058559771E17,59786.16435732154
4.516319476301233E12,56841.41012983344
8.643151364309598E16,50628.76396724784
7.914592928236076E20,47818.613687496676
1.786344916020656E21,47719.601566898185
3.1897844613423925E21,47418.09646563718
5.879480696571424E24,42549.34100299299
1.0838049403300988E23,42549.34100299299
2.148835939933355E21,42549.34100299299
1.6396181761250756E24,39887.831932279056
6.505426910186347E23,39454.78108429856
4.2367839303797816E18,39450.79635952805
5.293168233253982E16,36179.69199177195
2.0975580263138565E22,32692.138820709682
3.1705033869347193E22,32692.138820709682
1.8964876147219747E28,32692.138820296102
2.8717845911801326E26,32692.009984173877
